HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
ManUnited,Huddersfield,2,0,H,16,4,7,0
WestBrom,Southampton,2,3,A,9,13,3,5
CrystalPalace,Newcastle,1,1,D,21,11,6,8
Liverpool,Tottenham,2,2,D,9,13,3,6
Watford,Chelsea,4,1,H,21,7,8,3
Everton,CrystalPalace,3,1,H,11,16,5,4
ManCity,Leicester,5,1,H,19,2,11,2
Stoke,Brighton,1,1,D,15,14,3,6
Swansea,Burnley,1,0,H,12,13,4,1
Tottenham,Arsenal,1,0,H,18,6,6,1
WestHam,Watford,2,0,H,8,11,4,4
Huddersfield,Bournemouth,4,1,H,15,7,4,2
Newcastle,ManUnited,1,0,H,10,13,3,6
Southampton,Liverpool,0,2,A,6,16,4,4
Chelsea,WestBrom,3,0,H,20,8,8,1
Bournemouth,Newcastle,2,2,D,18,15,5,4
Brighton,Swansea,4,1,H,16,11,5,1
Burnley,Southampton,1,1,D,9,13,3,6
Leicester,Stoke,1,1,D,19,6,9,2
Liverpool,WestHam,4,1,H,21,7,12,4
Watford,Everton,1,0,H,13,7,5,2
WestBrom,Huddersfield,1,2,A,10,16,3,7
CrystalPalace,Tottenham,0,1,A,5,14,3,4
ManUnited,Chelsea,2,1,H,10,14,5,7
Arsenal,ManCity,0,3,A,10,9,5,5
Burnley,Everton,2,1,H,21,10,8,4
Leicester,Bournemouth,1,1,D,23,8,4,3
Liverpool,Newcastle,2,0,H,14,7,3,2
Southampton,Stoke,0,0,D,18,12,6,3
Swansea,WestHam,4,1,H,9,7,8,2
Tottenham,Huddersfield,2,0,H,15,3,7,3
Watford,WestBrom,1,0,H,15,9,4,2
Brighton,Arsenal,2,1,H,13,15,6,7
ManCity,Chelsea,1,0,H,13,3,3,0
CrystalPalace,ManUnited,2,3,A,10,17,4,8
Chelsea,CrystalPalace,2,1,H,27,9,11,2
Everton,Brighton,2,0,H,13,10,3,4
Huddersfield,Swansea,0,0,D,30,0,4,0
ManUnited,Liverpool,2,1,H,5,14,2,2
Newcastle,Southampton,3,0,H,7,6,5,2
WestBrom,Leicester,1,4,A,6,14,2,6
WestHam,Burnley,0,3,A,13,7,4,4
Arsenal,Watford,3,0,H,11,11,7,4
Bournemouth,Tottenham,1,4,A,14,12,3,8
Stoke,ManCity,0,2,A,3,17,0,6
Bournemouth,WestBrom,2,1,H,17,11,5,6
Huddersfield,CrystalPalace,0,2,A,6,17,2,6
Liverpool,Watford,5,0,H,13,4,10,1
Stoke,Everton,1,2,A,9,17,4,9
Brighton,Leicester,0,2,A,15,6,3,4
CrystalPalace,Liverpool,1,2,A,6,16,3,6
Everton,ManCity,1,3,A,6,18,2,4
ManUnited,Swansea,2,0,H,11,3,5,2
Newcastle,Huddersfield,1,0,H,18,4,3,0
Watford,Bournemouth,2,2,D,16,13,5,6
WestBrom,Burnley,1,2,A,8,11,3,4
WestHam,Southampton,3,0,H,13,9,5,0
Arsenal,Stoke,3,0,H,24,8,11,2
Chelsea,Tottenham,1,3,A,14,12,4,7
Bournemouth,CrystalPalace,2,2,D,20,13,5,6
Brighton,Huddersfield,1,1,D,13,14,4,5
Everton,Liverpool,0,0,D,6,10,1,3
Leicester,Newcastle,1,2,A,8,8,1,4
ManCity,ManUnited,2,3,A,20,5,6,4
Stoke,Tottenham,1,2,A,10,15,4,4
Watford,Burnley,1,2,A,14,7,5,4
WestBrom,Swansea,1,1,D,15,7,3,1
Arsenal,Southampton,3,2,H,13,15,7,8
Chelsea,WestHam,1,1,D,23,5,6,2
Burnley,Leicester,2,1,H,8,15,3,6
CrystalPalace,Brighton,3,2,H,15,12,8,3
Huddersfield,Watford,1,0,H,9,4,1,2
Liverpool,Bournemouth,3,0,H,20,6,7,1
Southampton,Chelsea,2,3,A,10,17,7,5
Swansea,Everton,1,1,D,17,12,7,3
Tottenham,ManCity,1,3,A,8,17,3,6
ManUnited,WestBrom,0,1,A,14,10,4,4
Newcastle,Arsenal,2,1,H,8,15,4,3
WestHam,Stoke,1,1,D,18,11,6,7
Brighton,Tottenham,1,1,D,8,16,5,6
Bournemouth,ManUnited,0,2,A,13,13,2,4
Burnley,Chelsea,1,2,A,5,16,2,5
Leicester,Southampton,0,0,D,11,6,3,2
Watford,CrystalPalace,0,0,D,14,6,4,1
WestBrom,Liverpool,2,2,D,13,9,6,3
Arsenal,WestHam,4,1,H,20,11,8,4
ManCity,Swansea,5,0,H,19,4,12,1
Stoke,Burnley,1,1,D,8,16,3,7
Everton,Newcastle,1,0,H,9,9,1,2
Burnley,Brighton,0,0,D,10,9,4,1
CrystalPalace,Leicester,5,0,H,15,6,9,1
Huddersfield,Everton,0,2,A,9,7,2,5
Liverpool,Stoke,0,0,D,20,5,2,1
Newcastle,WestBrom,0,1,A,17,9,2,2
Southampton,Bournemouth,2,1,H,14,14,6,7
Swansea,Chelsea,0,1,A,10,11,3,3
ManUnited,Arsenal,2,1,H,17,8,3,3
WestHam,ManCity,1,4,A,4,19,1,7
Tottenham,Watford,2,0,H,13,13,3,5
Brighton,ManUnited,1,0,H,11,16,4,3
Bournemouth,Swansea,1,0,H,13,12,5,3
Everton,Southampton,1,1,D,9,11,3,5
Leicester,WestHam,0,2,A,13,13,2,3
Stoke,CrystalPalace,1,2,A,7,13,2,2
Watford,Newcastle,2,1,H,11,9,8,1
WestBrom,Tottenham,1,0,H,9,18,1,5
Arsenal,Burnley,5,0,H,16,6,8,2
Chelsea,Liverpool,1,0,H,12,10,4,5
ManCity,Huddersfield,0,0,D,15,5,2,3
Swansea,Southampton,0,1,A,11,13,3,8
Chelsea,Huddersfield,1,1,D,22,3,5,2
Leicester,Arsenal,3,1,H,19,14,10,7
ManCity,Brighton,3,1,H,19,6,7,3
Tottenham,Newcastle,1,0,H,11,14,7,3
WestHam,ManUnited,0,0,D,9,16,2,6
Burnley,Bournemouth,1,2,A,12,16,4,5
CrystalPalace,WestBrom,2,0,H,11,7,5,1
Huddersfield,Arsenal,0,1,A,18,9,3,4
Liverpool,Brighton,4,0,H,22,2,11,1
ManUnited,Watford,1,0,H,7,7,1,3
Newcastle,Chelsea,3,0,H,16,6,6,2
Southampton,ManCity,0,1,A,8,13,3,2
Swansea,Stoke,1,2,A,26,8,11,5
Tottenham,Leicester,5,4,H,14,16,6,9
WestHam,Everton,3,1,H,15,14,4,7
