HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
WestBrom,Liverpool,0,1,A,7,15,2,2
Middlesbrough,Arsenal,1,2,A,13,12,5,4
Bournemouth,Middlesbrough,4,0,H,20,5,10,2
Hull,Watford,2,0,H,8,13,3,2
Swansea,Stoke,2,0,H,10,9,6,3
WestHam,Everton,0,0,D,15,4,3,0
Burnley,ManUnited,0,2,A,8,12,0,6
Liverpool,CrystalPalace,1,2,A,14,7,1,3
Chelsea,Southampton,4,2,H,17,12,7,4
Arsenal,Leicester,1,0,H,12,7,5,3
CrystalPalace,Tottenham,0,1,A,6,18,1,4
Middlesbrough,Sunderland,1,0,H,6,10,2,4
ManCity,ManUnited,0,0,D,19,3,6,1
CrystalPalace,Burnley,0,2,A,15,9,5,3
Southampton,Hull,0,0,D,11,9,2,1
Stoke,WestHam,0,0,D,19,12,4,4
Sunderland,Bournemouth,0,1,A,17,15,5,7
WestBrom,Leicester,0,1,A,16,6,4,1
Everton,Chelsea,0,3,A,12,11,4,5
ManUnited,Swansea,1,1,D,12,12,6,4
Middlesbrough,ManCity,2,2,D,14,22,6,4
Tottenham,Arsenal,2,0,H,20,12,11,4
Watford,Liverpool,0,1,A,9,12,2,8
WestHam,Tottenham,1,0,H,13,11,5,5
Bournemouth,Stoke,2,2,D,12,14,2,3
Burnley,WestBrom,2,2,D,14,11,4,3
Hull,Sunderland,0,2,A,16,12,6,5
Leicester,Watford,3,0,H,11,14,5,7
ManCity,CrystalPalace,5,0,H,26,5,12,2
Swansea,Everton,1,0,H,9,8,4,2
Arsenal,ManUnited,2,0,H,9,10,4,4
Liverpool,Southampton,0,0,D,17,4,8,0
Chelsea,Middlesbrough,3,0,H,21,2,7,1
Southampton,Arsenal,0,2,A,14,11,3,4
Everton,Watford,1,0,H,15,14,6,2
WestBrom,Chelsea,0,1,A,7,24,2,5
Bournemouth,Burnley,2,1,H,18,14,6,3
ManCity,Leicester,2,1,H,17,9,5,4
Middlesbrough,Southampton,1,2,A,14,14,3,4
Stoke,Arsenal,1,4,A,10,10,4,6
Sunderland,Swansea,0,2,A,13,3,4,3
CrystalPalace,Hull,4,0,H,12,9,4,0
Tottenham,ManUnited,2,1,H,14,8,7,2
WestHam,Liverpool,0,4,A,10,26,3,11
Chelsea,Watford,4,3,H,24,9,9,3
Arsenal,Sunderland,2,0,H,36,6,13,2
ManCity,WestBrom,3,1,H,21,5,10,2
Southampton,ManUnited,0,0,D,17,11,6,1
Leicester,Tottenham,1,6,A,12,26,5,12
Arsenal,Everton,3,1,H,17,22,9,7
Burnley,WestHam,1,2,A,9,14,1,4
Chelsea,Sunderland,5,1,H,28,7,8,3
Hull,Tottenham,1,7,A,10,19,4,14
Leicester,Bournemouth,1,1,D,21,10,5,4
Liverpool,Middlesbrough,3,0,H,25,9,10,3
ManUnited,CrystalPalace,2,0,H,9,6,2,1
Southampton,Stoke,0,1,A,14,14,6,3
Swansea,WestBrom,2,1,H,12,16,2,5
Watford,ManCity,0,5,A,6,15,3,9
